titulo,empresa,pais,ubicacion_raw,modalidad,desc_longitud,url
Commerce Analyst,Conde Nast,UK,Hybrid work in London,Híbrido,125,https://uk.indeed.com/viewjob?jk=163e75a5844e7209
AI Analyst,Webtures,UK,London,Presencial,26,https://uk.indeed.com/viewjob?jk=4aee3863a1fb4452
Performance Analyst,V Group Limited,UK,Glasgow,Presencial,43,https://uk.indeed.com/viewjob?jk=fb5ba3b39c732608
DDaT Business Systems Analyst,Northamptonshire Police,UK,Wellingborough NN8 6GS,Presencial,94,https://uk.indeed.com/viewjob?jk=4db2517c89a269ec
"Data Scientist, Product Analytics",Meta,UK,London,Presencial,45,https://uk.indeed.com/viewjob?jk=3d3858dcc57100ab
Senior UK Data Analyst,Universal Music Group,UK,London,Presencial,51,https://uk.indeed.com/viewjob?jk=3c15be3c7193b46b
2026 International Sector Analyst Internship - Proprietary Research,Point72,UK,London,Presencial,82,https://uk.indeed.com/viewjob?jk=8c5acc52cad66e38
"Data Engineer, Product Analytics",Meta,UK,London,Presencial,44,https://uk.indeed.com/viewjob?jk=e38b79944c032ccd
"Alpha Data Services – Data Analyst, Assistant Vice President",State Street,UK,London,Presencial,101,https://uk.indeed.com/viewjob?jk=0bf66e159d17f24a
Data Management and Turing Analytics Lead,Sanofi,UK,Reading,Presencial,56,https://uk.indeed.com/viewjob?jk=a48ee44eafb0832c
"Data Engineer, Product Analytics",Meta,UK,London,Presencial,44,https://uk.indeed.com/viewjob?jk=b3081725ef3474ac
Senior Data Analyst,DRW,UK,London,Presencial,30,https://uk.indeed.com/viewjob?jk=833a8bea02e6271f
Business Analyst,Edenred,UK,Hybrid work in Swindon,Híbrido,160,https://uk.indeed.com/viewjob?jk=3c41630bf8fcc134
"Consultant / Senior Consultant, Data Analytics",Teneo,UK,London,Presencial,59,https://uk.indeed.com/viewjob?jk=255ca845fd5472cd
Business Intelligence Business Analyst,Nomad Foods,UK,Woking,Presencial,57,https://uk.indeed.com/viewjob?jk=e25a93c22ea335d3
Business Analyst,Just Group,UK,Hybrid work in London,Híbrido,78,https://uk.indeed.com/viewjob?jk=2ee55d2ec14b2905
Sr. Business Intelligence Analyst,Trimble,UK,Remote,Remoto,48,https://uk.indeed.com/viewjob?jk=c99464316415da33
Market Performance Data & MI Senior Analyst,Lloyd's of London,UK,Hybrid work in London,Híbrido,153,https://uk.indeed.com/viewjob?jk=6de277ca08bbf9b9
Internal Audit-Birmingham-Analyst-Technology Audit,Goldman Sachs,UK,Birmingham,Presencial,105,https://uk.indeed.com/viewjob?jk=8eec77edab5271d0
Analyst (Deep Tech),Outsmart Insight,UK,Remote in London,Remoto,53,https://uk.indeed.com/viewjob?jk=7802887606aeafa8
Insight Analyst,G-Research,UK,London,Presencial,33,https://uk.indeed.com/viewjob?jk=b73f4b71d3d74485
Analytics & Data Insight Consultant,Accenture,UK,London,Presencial,78,https://uk.indeed.com/viewjob?jk=10cb7cea2db13f4b
Consultant (HE Data Analytics),Quacquarelli Symonds,UK,Hybrid work in London NW3 2DG,Híbrido,185,https://uk.indeed.com/viewjob?jk=92de32c0780f0471
Trainee BA (Business Analyst),Geeks Ltd,UK,London,Presencial,46,https://uk.indeed.com/viewjob?jk=e114a900d04d3124
Analyst,BPM-D,UK,Hybrid work in London,Híbrido,35,https://uk.indeed.com/viewjob?jk=2e524199476642d3
Technical Business Analyst,Commcise,UK,London,Presencial,84,https://uk.indeed.com/viewjob?jk=11549b08b8798480
Business Analyst,Universal Music Group,UK,London,Presencial,45,https://uk.indeed.com/viewjob?jk=7de350a33201f173
Business Analyst - Glasgow,CAPCO,UK,Hybrid work in London,Híbrido,119,https://uk.indeed.com/viewjob?jk=3fac9b49092c06c5
Lead Energy Market Analyst (Data),Energy Exemplar,UK,London,Presencial,56,https://uk.indeed.com/viewjob?jk=2a4035122e22a672
"Data Scientist, Product Analytics",Meta,UK,London,Presencial,45,https://uk.indeed.com/viewjob?jk=f61b31ce8bdcd6ce
Senior Data Analyst (Project Controls),Mace,UK,Hybrid work in London,Híbrido,65,https://uk.indeed.com/viewjob?jk=dac7042c348d5b11
"Lead Business Analyst, Enterprise Data",Arch Capital Group Ltd.,UK,London,Presencial,69,https://uk.indeed.com/viewjob?jk=2250fd0b3919ba14
Analyst/Sr Analyst - Modelling and Analysis (HEOR),ConnectHEOR,UK,Remote,Remoto,69,https://uk.indeed.com/viewjob?jk=d532c0e65bd4a5d5
Technical Business Analyst,Flutter Entertainment,UK,Leeds LS1 4AP,Presencial,132,https://uk.indeed.com/viewjob?jk=a7e4e6d1b181a83f
Senior Business Analyst,Hutcheon Mearns Ltd,UK,Dyce,Presencial,61,https://uk.indeed.com/viewjob?jk=3839a65ece86f27d
Risk Data Analyst - Fincrime & Fraud Monitoring,Teya,UK,London,Presencial,121,https://uk.indeed.com/viewjob?jk=31d8aca97c964dd6
Senior Business Analyst,N-able,UK,Hybrid work in Dundee DD1,Híbrido,85,https://uk.indeed.com/viewjob?jk=0f4fdb34f1e465e2
Actuarial Analyst - Analytics,Beazley Management Limited,UK,Birmingham B3,Presencial,189,https://uk.indeed.com/viewjob?jk=5e5cc0ba723ddf18
Staff Data Analyst - Growth (m/f/x),FINN,DE,Hybrides Arbeiten in München,Híbrido,204,https://de.indeed.com/viewjob?jk=e442fde323743228
Junior Controller (m/w/d) mit IT- & Data-Affinität / Junior Data Analyst Finance Köln,Deutsche Verrechnungsstelle AG,DE,51063 Köln,Presencial,262,https://de.indeed.com/viewjob?jk=0e8af4b88990dadf
Business Analyst (m/w/d) mit Schwerpunkt DWH & Datenmodellierung,Württembergische Versicherung AG,DE,70806 Kornwestheim,Presencial,194,https://de.indeed.com/viewjob?jk=221b070d3c3c1dba
Client Reporting Manager/in - Data Analyst/in (m/w/d) im Forderungsmanagement,LINK Financial GmbH,DE,60314 Frankfurt am Main,Presencial,181,https://de.indeed.com/viewjob?jk=a088c39b911ae6dc
Senior Data-Analyst/in (all genders),ALBAG Unternehmensgruppe GmbH,DE,Essen,Presencial,134,https://de.indeed.com/viewjob?jk=6ce80b31a534f774
Data Engineer (m/w/d),Data Insight Consulting GmbH,DE,Hybrides Arbeiten in 22083 Hamburg,Híbrido,262,https://de.indeed.com/viewjob?jk=e84b19159db7e88b
Energiemanager / Data Analyst (m/w/d),Techem Energy Services GmbH,DE,65760 Eschborn,Presencial,197,https://de.indeed.com/viewjob?jk=2d18135a0444583b
"Sr. Data Scientist (Kaiserslautern, Germany)",JANSON,DE,Hybrides Arbeiten in 67659 Kaiserslautern,Híbrido,167,https://de.indeed.com/viewjob?jk=5adf47b666e99583
Online Marketing Analyst /Senior Digital Analyst,ATG Entertainment GmbH,DE,50679 Köln,Presencial,191,https://de.indeed.com/viewjob?jk=22ddaf5a5580796b
"Mid-Level Data Engineer (Kaiserslautern, Germany)",JANSON,DE,Hybrides Arbeiten in 67659 Kaiserslautern,Híbrido,155,https://de.indeed.com/viewjob?jk=b032baab88b1d7f1
Business Intelligence Consultant (m/w/d),Premium Food Group ApS & Co. KG,DE,33332 Gütersloh,Presencial,216,https://de.indeed.com/viewjob?jk=1aa9999fd14dae1e
"Mid-Level Data Engineer (Kaiserslautern, Germany)",JANSON,DE,Hybrides Arbeiten in 67659 Kaiserslautern,Híbrido,155,https://de.indeed.com/viewjob?jk=00f5aaea7e0cb116
CRM System Spezialist & Data Analyst (w/m/d),FRITZ!,DE,10115 Berlin,Presencial,152,https://de.indeed.com/viewjob?jk=1dcf93f0a21a155a
BI Consultant (m/w/d) Schwerpunkt Qlik Sense / SAP,expertum GmbH,DE,74613 Öhringen,Presencial,91,https://de.indeed.com/viewjob?jk=3e1aee5d0969f390
Data Analyst & CRM Performance Manager (m/w/d),aufinity Group,DE,50672 Köln,Presencial,181,https://de.indeed.com/viewjob?jk=8ff6013e3487f088
Supply Chain Planning Analyst,Kip Holding GmbH & Co. KG,DE,46395 Bocholt,Presencial,114,https://de.indeed.com/viewjob?jk=c5814980ebedf256
RMF & Authorizations Analyst,General Dynamics Information Technology,DE,Wiesbaden,Presencial,78,https://de.indeed.com/viewjob?jk=61f6571dd6e5aabe
Analyst (w/m/d),Robert Half,DE,50678 Köln,Presencial,96,https://de.indeed.com/viewjob?jk=b37566439adfa8fe
Business Analyst (BSA) – P2P Process (m/f/d),REPA Deutschland GmbH,DE,Hybrides Arbeiten in 85232 Bergkirchen,Híbrido,188,https://de.indeed.com/viewjob?jk=7a4cac578865e775
Google Ads Analyst (m/f/d),Pflegia,DE,10115 Berlin,Presencial,109,https://de.indeed.com/viewjob?jk=25ef5aa607e3c9f9
Junior Project Manager (German-Speaking),Mastercard,DE,Frankfurt am Main,Presencial,78,https://de.indeed.com/viewjob?jk=09f0fbd99f6a7621
Sustainability Data Analyst (m/w/d),Global Changer,DE,Homeoffice,Presencial,216,https://de.indeed.com/viewjob?jk=398e71d41f1a69bb
Game Data Analyst - All in Hole,Homa,DE,Homeoffice in Berlin,Presencial,115,https://de.indeed.com/viewjob?jk=7f5b2ad34c0f3430
Werkstudent: in Business/ Data Analyst (m/w/d) - remote oder Karlsruhe,Knuddels GmbH & Co. KG,DE,Homeoffice in 76133 Karlsruhe,Presencial,149,https://de.indeed.com/viewjob?jk=3901457495a8dcce
Staff Energy Data Analyst (m/f/d),Entrix,DE,80802 München,Presencial,124,https://de.indeed.com/viewjob?jk=3467fd6d081ae07a
Principal Data Product & Visualization Analyst - Remote or Hamburg (all genders),Baqend,DE,22769 Hamburg,Presencial,143,https://de.indeed.com/viewjob?jk=0b1f01985568b0ce
Product Analyst – Business Data & Insights (m/f/d),Integrity Next GmbH,DE,Homeoffice,Presencial,107,https://de.indeed.com/viewjob?jk=b02a781f9b9294c9
Data Manager | Data Analyst (m/w/d) für B2B-Online-Marketing,LUMITOS AG,DE,Homeoffice,Presencial,131,https://de.indeed.com/viewjob?jk=86376b936a1fc16b
Data Science Specialist (m/w/d),IT-P GmbH,DE,30173 Hannover,Presencial,109,https://de.indeed.com/viewjob?jk=c0a96e950244b921
Senior Data Analyst (m/f/d) - Shop Analytics - onsite in Hamburg,ABOUT YOU SE & Co. KG,DE,Hamburg,Presencial,159,https://de.indeed.com/viewjob?jk=cfad3310b7c1e7e7
Senior Tax Analyst/Tax Manager EMEA (with focus on Germany),Axalta Coating Systems Gm,DE,50858 Köln,Presencial,130,https://de.indeed.com/viewjob?jk=8ec47e1bae05c810
Senior Tax Analyst/Tax Manager EMEA (with focus on Germany),Axalta Coating Systems Gm,DE,42285 Wuppertal,Presencial,135,https://de.indeed.com/viewjob?jk=e1870eac7a20dd90
(Senior) Analytical Engineer (m/w/d),ENERTRAG SE,DE,Hybrides Arbeiten in 17291 Schenkenberg,Híbrido,202,https://de.indeed.com/viewjob?jk=e71286ab131aac8d
Spezialist/in Vertriebscontrolling (m/w/d),compexx Finanz AG,DE,93059 Regensburg,Presencial,151,https://de.indeed.com/viewjob?jk=c5f89b9d6459b029
Praktikum Einkauf International - Commodity Analyst in Neckarsulm,Lidl Stiftung,DE,Deutschland,Presencial,100,https://de.indeed.com/viewjob?jk=f1e479ac42920b37
CRM Strategy & Operations Manager – Microsoft Dynamics 365 Sales (m/w/d),Triflex GmbH & Co. KG,DE,32423 Minden,Presencial,216,https://de.indeed.com/viewjob?jk=78fa746c9e6f479c
C4 GCCS-J System Administrator,General Dynamics Information Technology,DE,Grafenwöhr,Presencial,81,https://de.indeed.com/viewjob?jk=00b7e81289c01129
"Senior Analyst - BCG Vantage, Asset & Wealth Management",Boston Consulting Group,DE,60325 Frankfurt am Main,Presencial,112,https://de.indeed.com/viewjob?jk=8bf4d88263b79873
Senior IT Consultant (w/m/d),items GmbH & Co. KG,DE,Münster,Presencial,162,https://de.indeed.com/viewjob?jk=585d211e435e9a82
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,IU Duales Studium,DE,Hybrides Arbeiten in 70173 Stuttgart,Híbrido,155,https://de.indeed.com/viewjob?jk=4cbbf197a7b9bf0d
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,IU Duales Studium,DE,Hybrides Arbeiten in 50667 Köln,Híbrido,150,https://de.indeed.com/viewjob?jk=e73c3982e1b3d7b2
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,IU Duales Studium,DE,Hybrides Arbeiten in 20095 Hamburg,Híbrido,153,https://de.indeed.com/viewjob?jk=96d8f412a59cd812
,,DE,,Presencial,0,https://de.indeed.com/viewjob?jk=890abcdef0123456
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,IU Duales Studium,DE,Hybrides Arbeiten in 10115 Berlin,Híbrido,152,https://de.indeed.com/viewjob?jk=06e28e78f0fae2d3
Consultant Commodity Trading (all genders) - BCG Platinion,Boston Consulting Group,DE,20095 Hamburg,Presencial,96,https://de.indeed.com/viewjob?jk=01864f97a0c31109
Senior Business Partner Finance (m/f/d),Agile Robots SE,DE,81369 München,Presencial,116,https://de.indeed.com/viewjob?jk=85a7208bff89180b
Business Controller (m/w/d),NORRES Schlauchtechnik GmbH,DE,45881 Gelsenkirchen,Presencial,204,https://de.indeed.com/viewjob?jk=21de2ab6f1750592
Consultant Commodity Trading (all genders) - BCG Platinion,Boston Consulting Group,DE,Berlin,Presencial,89,https://de.indeed.com/viewjob?jk=b5b46203cd94eee8
Consultant Commodity Trading (all genders) - BCG Platinion,Boston Consulting Group,DE,München,Presencial,90,https://de.indeed.com/viewjob?jk=286b3ae130f35c98
PERFORMANCE & GROWTH MARKETING MANAGER (m/w/d) – Lead B2C,eFoil Riders,DE,80805 München,Presencial,243,https://de.indeed.com/viewjob?jk=c831467305671517
Datenanalyse mit Fokus auf BI,n_value group,DE,76131 Karlsruhe,Presencial,167,https://de.indeed.com/viewjob?jk=af65f76940a4b2dc
Corporate Development Analyst (m/f/d),SAP Fioneer,DE,Hybrides Arbeiten in Berlin,Híbrido,172,https://de.indeed.com/viewjob?jk=828b44ae9263dad1
Software Test Analyst *,valantic Software & Technology Innovations GmbH,DE,10243 Berlin-Friedrichshain,Presencial,230,https://de.indeed.com/viewjob?jk=c39f1eb84de9a46f
"Scientific Business Analyst- Darmstadt or Düsseldorf, Germany",TetraScience,DE,Frankfurt am Main,Presencial,146,https://de.indeed.com/viewjob?jk=6cf95a2864c449d4
Senior Data Scientist (f/m/d),justtrack,DE,Hybrides Arbeiten in 20095 Hamburg,Híbrido,91,https://de.indeed.com/viewjob?jk=de943772fec8c367
Senior Data Scientist (m/w/d) – Generative KI,Libri GmbH,DE,Hamburg,Presencial,121,https://de.indeed.com/viewjob?jk=ccfa33ba7cfe1473
"Senior Data Engineer at Advertising Platform (Remote, PH-based only)",OneTeamAnywhere,DE,Homeoffice in Berlin,Presencial,191,https://de.indeed.com/viewjob?jk=bfc829fb27128772
SAP Business Analyst Schwerpunkten Master Data & Finance (w/m/d),Digital Development,DE,30177 Hannover,Presencial,155,https://de.indeed.com/viewjob?jk=8b3dafd98077d816
Analyst Financial Planning & Reporting / Finance Business Partner Holding (m/w/d),Mangrove GermanCo II GmbH,DE,Herne,Presencial,130,https://de.indeed.com/viewjob?jk=44f41c3b4e71904d
"Senior Project Manager/Business Analyst, Life Sciences - EU",fme Life Sciences,DE,Homeoffice in Frankfurt am Main,Presencial,135,https://de.indeed.com/viewjob?jk=503b142562e95060
(Senior) Technical Business Analyst (m/f/d) - Supply Tech - Hamburg (hybrid),ABOUT YOU SE & Co. KG,DE,Hybrides Arbeiten in Hamburg,Híbrido,228,https://de.indeed.com/viewjob?jk=f78c80458c389069
Venture Capital - Visiting Investment Analyst (m/f/d),T.Capital,DE,Deutschland,Presencial,92,https://de.indeed.com/viewjob?jk=4e623dea7b1b9eb1
Werkstudent/in Data Analyst (w/m/d) - deutschlandweit,Relevo,DE,80538 München,Presencial,123,https://de.indeed.com/viewjob?jk=3201d5b95d5b04c2
Data Analyst,mrge-group-gmbh,DE,Hybrides Arbeiten in 10997 Berlin-Kreuzberg,Híbrido,172,https://de.indeed.com/viewjob?jk=ab5f97415db118f4
